,n_missing
Customer_ID,0
Age,0
Gender,0
Income_Level,0
Marital_Status,0
Education_Level,0
Occupation,0
Location,0
Purchase_Category,0
Purchase_Amount,0
Frequency_of_Purchase,0
Purchase_Channel,0
Brand_Loyalty,0
Product_Rating,0
Time_Spent_on_Product_Research(hours),0
Social_Media_Influence,247
Discount_Sensitivity,0
Return_Rate,0
Customer_Satisfaction,0
Engagement_with_Ads,256
Device_Used_for_Shopping,0
Payment_Method,0
Time_of_Purchase,0
Discount_Used,0
Customer_Loyalty_Program_Member,0
Purchase_Intent,0
Shipping_Preference,0
Time_to_Decision,0
Purchase_Amount_clean,0
Purchase_Date,0
Purchase_Year,0
Purchase_Month,0
Purchase_Day,0
Purchase_DayOfWeek,0
